pergunta,categoria
"Como emitir nota fiscal?","fiscal"
"Como gerar boleto?","financeiro"
"Qual o estoque de peças?","estoque"
"Como cadastrar um veículo?","comercial"
"Como lançar despesas contábeis?","contabil"
"Como configurar integração com banco?","integracoes"
"Boa noite","social"
"Oi, tudo bem?","social"
"Como agendar um serviço de oficina?","oficina"
"Bom dia","social"
"Boa tarde","social"
"Boa noite","social"
"Oi","social"
"Olá","social"
"E aí","social"
"Tudo bem?","social"
"Como você está?","social"
"Como vai?","social"
"Oi, tudo certo?","social"
"Bom dia equipe","social"
"Boa semana a todos","social"
"Boa noite equipe","social"
"Oi pessoal","social"
"Salve","social"
"Como estão as coisas?","social"
"Espero que estejam bem","social"
"Tenham um ótimo dia","social"
"Olá equipe","social"
"Bom final de semana","social"
"Bom trabalho","social"
"Boa jornada","social"
"Oi bom dia","social"
"Boa tarde pessoal","social"
"Oi time","social"
"Como foi o final de semana?","social"
"Espero que tenham tido um bom descanso","social"
"Boa noite time","social"
"Oi pessoal tudo bem?","social"
"Olá tudo certo?","social"
"Oi como posso ajudar?","social"
"Bom dia como posso ajudar?","social"
"Boa tarde como posso ajudar?","social"
"Boa noite como posso ajudar?","social"
"Oi equipe tudo certo?","social"
"Bom dia clientes","social"
"Olá clientes","social"
"Boa tarde clientes","social"
"Boa noite clientes","social"
"Bem-vindo","social"
"Bem-vinda","social"
"Oi seja bem-vindo","social"
"Oi seja bem-vinda","social"
"Como posso ajudar hoje?","social"
"Oi tudo bem por aí?","social"
"Espero que esteja tudo bem","social"
"Oi como foi o dia?","social"
"Como emitir nota fiscal?","fiscal"
"Como faço para emitir uma nota fiscal de serviço?","fiscal"
"Como cancelar uma nota fiscal?","fiscal"
"Como consultar notas fiscais emitidas?","fiscal"
"Como importar XML da nota fiscal?","fiscal"
"Como gerar uma nota fiscal de entrada?","fiscal"
"Como gerar uma nota complementar?","fiscal"
"Como enviar a nota fiscal para o cliente?","fiscal"
"Como validar uma nota fiscal?","fiscal"
"Como corrigir uma nota fiscal com erro?","fiscal"
"Como imprimir a DANFE?","fiscal"
"Como configurar CFOP na nota fiscal?","fiscal"
"Como incluir desconto na nota fiscal?","fiscal"
"Como informar transporte na nota fiscal?","fiscal"
"Como fazer devolução com nota fiscal?","fiscal"
"Como emitir nota fiscal avulsa?","fiscal"
"Como configurar série da nota fiscal?","fiscal"
"Como configurar CST para produto?","fiscal"
"Como parametrizar imposto ISS?","fiscal"
"Como parametrizar imposto ICMS?","fiscal"
"Como parametrizar imposto IPI?","fiscal"
"Como parametrizar imposto PIS/COFINS?","fiscal"
"Como consultar status da nota fiscal?","fiscal"
"Como enviar nota fiscal em contingência?","fiscal"
"Como ajustar natureza da operação?","fiscal"
"Como configurar regime tributário?","fiscal"
"Como configurar empresa para emissão de NFe?","fiscal"
"Como corrigir rejeição da nota fiscal?","fiscal"
"Como configurar ambiente de homologação?","fiscal"
"Como fazer ajuste fiscal?","fiscal"
"Como configurar retenção de impostos?","fiscal"
"Como gerar arquivo SPED fiscal?","fiscal"
"Como exportar notas fiscais?","fiscal"
"Como gerar livro fiscal?","fiscal"
"Como ajustar código de serviço?","fiscal"
"Como consultar protocolo de autorização da nota?","fiscal"
"Como enviar carta de correção?","fiscal"
"Como gerar nota fiscal complementar de ICMS?","fiscal"
"Como cancelar nota fiscal fora do prazo?","fiscal"
"Como ajustar código NCM?","fiscal"
"Como parametrizar substituição tributária?","fiscal"
"Como configurar CST de serviço?","fiscal"
"Como validar CF-e?","fiscal"
"Como emitir NFC-e?","fiscal"
"Como configurar regra fiscal para produto?","fiscal"
"Como lançar nota de remessa?","fiscal"
"Como gerar nota fiscal de exportação?","fiscal"
"Como gerar um boleto bancário?","financeiro"
"Como enviar boleto para o cliente?","financeiro"
"Como gerar cobrança bancária?","financeiro"
"Como consultar contas a receber?","financeiro"
"Como consultar contas a pagar?","financeiro"
"Como lançar um pagamento?","financeiro"
"Como lançar um recebimento?","financeiro"
"Como fazer conciliação bancária?","financeiro"
"Como gerar extrato bancário?","financeiro"
"Como importar extrato bancário?","financeiro"
"Como lançar juros e multa?","financeiro"
"Como parametrizar dias de vencimento?","financeiro"
"Como lançar desconto financeiro?","financeiro"
"Como cadastrar condição de pagamento?","financeiro"
"Como alterar data de vencimento?","financeiro"
"Como gerar relatório de fluxo de caixa?","financeiro"
"Como gerar DRE?","financeiro"
"Como conferir saldo bancário?","financeiro"
"Como ajustar saldo inicial da conta?","financeiro"
"Como fazer baixa de título manualmente?","financeiro"
"Como gerar carta de cobrança?","financeiro"
"Como configurar cobrança automática?","financeiro"
"Como configurar integração com banco?","financeiro"
"Como parametrizar integração PIX?","financeiro"
"Como gerar arquivo CNAB?","financeiro"
"Como importar retorno bancário?","financeiro"
"Como verificar inadimplência?","financeiro"
"Como emitir recibo de pagamento?","financeiro"
"Como gerar borderô bancário?","financeiro"
"Como controlar adiantamento de clientes?","financeiro"
"Como controlar adiantamento de fornecedores?","financeiro"
"Como reprocessar arquivo de remessa?","financeiro"
"Como configurar taxas de cobrança?","financeiro"
"Como lançar ajuste de centavos?","financeiro"
"Como controlar cheques recebidos?","financeiro"
"Como controlar cheques emitidos?","financeiro"
"Como fazer baixa automática de boletos?","financeiro"
"Como integrar a conciliação automática?","financeiro"
"Como parametrizar regra de juros?","financeiro"
"Como configurar envio de boletos por e-mail?","financeiro"
"Como gerar relatório de contas pagas?","financeiro"
"Como gerar relatório de contas a receber?","financeiro"
"Como gerar relatório de inadimplência?","financeiro"
"Como integrar ERP com gateway de pagamento?","financeiro"
"Como configurar conta contábil nas transações financeiras?","financeiro"
"Como cadastrar uma conta bancária?","financeiro"
"Como cancelar um título a receber?","financeiro"
"Como cancelar um título a pagar?","financeiro"
"Como consultar saldo de estoque?","estoque"
"Como cadastrar um novo produto?","estoque"
"Como dar entrada no estoque?","estoque"
"Como lançar saída de estoque?","estoque"
"Como fazer ajuste de estoque?","estoque"
"Como gerar inventário de estoque?","estoque"
"Como gerar relatório de estoque?","estoque"
"Como configurar local de estoque?","estoque"
"Como lançar transferência de estoque?","estoque"
"Como consultar movimentação de estoque?","estoque"
"Como consultar posição de estoque?","estoque"
"Como gerar inventário rotativo?","estoque"
"Como controlar estoque mínimo?","estoque"
"Como controlar estoque máximo?","estoque"
"Como parametrizar estoque por filial?","estoque"
"Como configurar unidade de medida?","estoque"
"Como cadastrar categoria de produto?","estoque"
"Como consultar histórico de movimentação?","estoque"
"Como lançar quebra de estoque?","estoque"
"Como lançar sobra de estoque?","estoque"
"Como gerar etiqueta de produto?","estoque"
"Como gerar código de barras?","estoque"
"Como consultar lote de produto?","estoque"
"Como controlar validade de produto?","estoque"
"Como consultar estoque por localização?","estoque"
"Como parametrizar estoque em terceiros?","estoque"
"Como controlar estoque em consignação?","estoque"
"Como gerar previsão de compra?","estoque"
"Como consultar necessidade de compra?","estoque"
"Como integrar estoque com venda?","estoque"
"Como bloquear produto sem estoque?","estoque"
"Como permitir venda com estoque negativo?","estoque"
"Como controlar saldo físico e contábil?","estoque"
"Como ajustar custo médio do produto?","estoque"
"Como gerar curva ABC de estoque?","estoque"
"Como gerar inventário para auditoria?","estoque"
"Como controlar lote e série?","estoque"
"Como parametrizar rastreabilidade de produto?","estoque"
"Como controlar estoque por cor e tamanho?","estoque"
"Como importar saldo inicial de estoque?","estoque"
"Como lançar movimentação manual?","estoque"
"Como controlar estoque de peças?","estoque"
"Como controlar estoque de veículos?","estoque"
"Como controlar estoque de acessórios?","estoque"
"Como controlar estoque de pneus?","estoque"
"Como gerar posição de estoque financeiro?","estoque"
"Como gerar posição de estoque contábil?","estoque"
"Como auditar movimentações de estoque?","estoque"
"Como cadastrar um novo cliente?","comercial"
"Como gerar um pedido de venda?","comercial"
"Como consultar pedidos em aberto?","comercial"
"Como gerar relatório de vendas?","comercial"
"Como lançar uma proposta comercial?","comercial"
"Como enviar proposta para o cliente?","comercial"
"Como gerar contrato de venda?","comercial"
"Como consultar histórico de vendas do cliente?","comercial"
"Como controlar comissão de vendedores?","comercial"
"Como cadastrar tabela de preço?","comercial"
"Como aplicar desconto em pedido de venda?","comercial"
"Como parametrizar condição de pagamento?","comercial"
"Como configurar política de desconto?","comercial"
"Como controlar follow-up de clientes?","comercial"
"Como registrar visita comercial?","comercial"
"Como configurar metas de vendas?","comercial"
"Como gerar ranking de vendedores?","comercial"
"Como gerar relatório de clientes inativos?","comercial"
"Como importar cadastro de clientes?","comercial"
"Como exportar cadastro de clientes?","comercial"
"Como atualizar cadastro de cliente?","comercial"
"Como bloquear cliente inadimplente?","comercial"
"Como controlar limite de crédito?","comercial"
"Como gerar carta de cobrança para cliente?","comercial"
"Como gerar relatórios de margem de venda?","comercial"
"Como controlar pipeline de vendas?","comercial"
"Como cadastrar oportunidade de venda?","comercial"
"Como gerar contrato de financiamento?","comercial"
"Como configurar financiamento interno?","comercial"
"Como consultar veículos disponíveis para venda?","comercial"
"Como controlar estoque de veículos novos?","comercial"
"Como controlar estoque de veículos usados?","comercial"
"Como gerar comissão por tipo de venda?","comercial"
"Como parametrizar comissões por produto?","comercial"
"Como gerar relatórios de conversão de vendas?","comercial"
"Como integrar com CRM?","comercial"
"Como importar leads para o sistema?","comercial"
"Como cadastrar lead manualmente?","comercial"
"Como enviar e-mail de proposta?","comercial"
"Como automatizar envio de propostas?","comercial"
"Como gerar contrato de leasing?","comercial"
"Como cadastrar convênio de vendas?","comercial"
"Como gerar cupom de desconto?","comercial"
"Como controlar vendas por filial?","comercial"
"Como gerar relatório de taxa de conversão?","comercial"
"Como configurar campanha de vendas?","comercial"
"Como controlar workflow de aprovação de vendas?","comercial"
"Como gerar o SPED Contábil?","contabil"
"Como gerar balancete contábil?","contabil"
"Como gerar razão contábil?","contabil"
"Como gerar diário contábil?","contabil"
"Como configurar plano de contas?","contabil"
"Como lançar contabilização manual?","contabil"
"Como consultar lançamentos contábeis?","contabil"
"Como parametrizar contas contábeis?","contabil"
"Como conciliar contas contábeis?","contabil"
"Como integrar financeiro com contábil?","contabil"
"Como gerar lançamento automático?","contabil"
"Como corrigir lançamento contábil?","contabil"
"Como estornar lançamento contábil?","contabil"
"Como gerar balanço patrimonial?","contabil"
"Como gerar demonstração de resultados (DRE)?","contabil"
"Como gerar livro razão?","contabil"
"Como configurar centro de custo?","contabil"
"Como lançar rateio contábil?","contabil"
"Como configurar históricos padrão?","contabil"
"Como gerar balancete por centro de custo?","contabil"
"Como gerar balancete por filial?","contabil"
"Como configurar contas de receita?","contabil"
"Como configurar contas de despesa?","contabil"
"Como configurar contas patrimoniais?","contabil"
"Como configurar contas de compensação?","contabil"
"Como controlar provisões contábeis?","contabil"
"Como lançar provisão de férias?","contabil"
"Como lançar provisão de 13º salário?","contabil"
"Como lançar provisão de contingências?","contabil"
"Como gerar lançamentos de depreciação?","contabil"
"Como gerar lançamentos de amortização?","contabil"
"Como gerar lançamentos de reavaliação de ativos?","contabil"
"Como configurar contas contábeis para estoque?","contabil"
"Como configurar contas contábeis para vendas?","contabil"
"Como configurar contas contábeis para compras?","contabil"
"Como parametrizar lançamentos automáticos de ICMS?","contabil"
"Como parametrizar lançamentos automáticos de PIS/COFINS?","contabil"
"Como parametrizar lançamentos automáticos de IRPJ/CSLL?","contabil"
"Como gerar lançamentos de folha de pagamento?","contabil"
"Como importar lançamentos da folha?","contabil"
"Como gerar lançamentos de leasing?","contabil"
"Como configurar integrações contábeis?","contabil"
"Como gerar relatório de provisões?","contabil"
"Como gerar relatório de custos?","contabil"
"Como gerar razão analítico?","contabil"
"Como controlar rateios contábeis?","contabil"
"Como controlar saldo contábil?","contabil"
"Como parametrizar contabilização de serviços?","contabil"
"Como configurar integração bancária?","integracoes"
"Como configurar integração com nota fiscal eletrônica?","integracoes"
"Como integrar ERP com sistema fiscal?","integracoes"
"Como integrar ERP com contabilidade?","integracoes"
"Como configurar integração com CRM?","integracoes"
"Como importar cadastro de clientes via integração?","integracoes"
"Como importar cadastro de produtos via integração?","integracoes"
"Como integrar com sistema de folha de pagamento?","integracoes"
"Como importar XML de NF-e via integração?","integracoes"
"Como configurar integração com transportadora?","integracoes"
"Como integrar sistema com gateway de pagamento?","integracoes"
"Como integrar ERP com plataforma de e-commerce?","integracoes"
"Como configurar webhooks para integração?","integracoes"
"Como importar pedidos via API?","integracoes"
"Como exportar pedidos via API?","integracoes"
"Como configurar integração com plataforma de marketplace?","integracoes"
"Como importar saldo de estoque via integração?","integracoes"
"Como configurar integração de catálogo de produtos?","integracoes"
"Como parametrizar integração com sistema de gestão de frota?","integracoes"
"Como integrar com sistemas de BI?","integracoes"
"Como gerar arquivo de integração com banco?","integracoes"
"Como importar retorno bancário via integração?","integracoes"
"Como integrar com soluções de conciliação bancária?","integracoes"
"Como configurar integração PIX?","integracoes"
"Como configurar integração TEF?","integracoes"
"Como integrar ERP com software de gestão de oficina?","integracoes"
"Como configurar integração com o DMS da montadora?","integracoes"
"Como importar dados de veículos da montadora?","integracoes"
"Como integrar com softwares de controle de garantia?","integracoes"
"Como integrar com sistema de avaliação de veículos?","integracoes"
"Como configurar integração com sistema de financiamento?","integracoes"
"Como configurar integração com ferramenta de marketing?","integracoes"
"Como importar leads via integração?","integracoes"
"Como exportar leads via integração?","integracoes"
"Como automatizar integração com fornecedores?","integracoes"
"Como automatizar integração com clientes?","integracoes"
"Como gerar relatórios de integrações falhas?","integracoes"
"Como monitorar integrações automáticas?","integracoes"
"Como configurar logs de integração?","integracoes"
"Como configurar notificações de falha de integração?","integracoes"
"Como reprocessar integração de nota fiscal?","integracoes"
"Como reprocessar integração bancária?","integracoes"
"Como configurar integração de estoque com e-commerce?","integracoes"
"Como configurar integração de preços com marketplace?","integracoes"
"Como configurar integração contábil automática?","integracoes"
"Como exportar relatórios para BI?","integracoes"
"Como importar lançamentos contábeis via integração?","integracoes"
"Como abrir uma ordem de serviço?","oficina"
"Como consultar ordens de serviço em aberto?","oficina"
"Como encerrar uma ordem de serviço?","oficina"
"Como agendar um serviço na oficina?","oficina"
"Como consultar agenda da oficina?","oficina"
"Como cadastrar um técnico de oficina?","oficina"
"Como controlar estoque de peças da oficina?","oficina"
"Como gerar relatório de produtividade da oficina?","oficina"
"Como gerar relatório de eficiência da oficina?","oficina"
"Como controlar garantia de serviço?","oficina"
"Como controlar retorno de serviço?","oficina"
"Como gerar orçamento para o cliente?","oficina"
"Como enviar orçamento para o cliente?","oficina"
"Como aprovar orçamento?","oficina"
"Como controlar tempo de execução da OS?","oficina"
"Como registrar apontamentos de técnico?","oficina"
"Como gerar relatório de OS por técnico?","oficina"
"Como gerar relatório de OS por tipo de serviço?","oficina"
"Como cadastrar tipo de serviço?","oficina"
"Como configurar checklist da OS?","oficina"
"Como registrar imagens na OS?","oficina"
"Como registrar vídeos na OS?","oficina"
"Como integrar OS com garantia da montadora?","oficina"
"Como consultar histórico de serviços do veículo?","oficina"
"Como consultar histórico de serviços do cliente?","oficina"
"Como configurar parâmetro de aprovação automática de orçamento?","oficina"
"Como controlar peças em garantia?","oficina"
"Como controlar peças em análise técnica?","oficina"
"Como gerar relatório de peças aplicadas?","oficina"
"Como controlar peças em devolução?","oficina"
"Como controlar peças em troca?","oficina"
"Como emitir recibo de entrega do veículo?","oficina"
"Como registrar test-drive após serviço?","oficina"
"Como controlar lavagens de veículos?","oficina"
"Como controlar serviços terceirizados?","oficina"
"Como configurar tipos de OS?","oficina"
"Como configurar tempo padrão por serviço?","oficina"
"Como gerar ranking de técnicos?","oficina"
"Como controlar retrabalho?","oficina"
"Como gerar relatório de retrabalho?","oficina"
"Como controlar fila de espera da oficina?","oficina"
"Como registrar OS por aplicativo?","oficina"
"Como registrar OS por tablet?","oficina"
"Como configurar aprovação digital de orçamento?","oficina"
"Como controlar peças separadas para OS?","oficina"
"Como gerar relatório de OS em garantia?","oficina"
"Como controlar apontamento de peças aplicadas?","oficina"
